N,Triton_oneline,Triton_step,Torch,Naive Softmax
9856.000000,1430.981931,1022.228176,2017.657412,559.226835
9984.000000,1429.823765,1040.321230,2041.885448,558.824699
10112.000000,1448.316779,1050.532637,2047.391810,555.369533
10240.000000,1466.487523,1056.294764,2058.125195,556.987518
10368.000000,1472.398220,1059.643387,2087.047039,555.536443
10496.000000,1483.624729,1079.188456,2084.222185,556.196421
10624.000000,1496.869585,1088.632428,2107.103631,556.041049
10752.000000,1503.028485,1093.371051,2116.909818,556.581033
10880.000000,1520.301671,1098.484183,2135.889492,557.477774
11008.000000,1528.342943,1115.932235,2134.926658,557.947380
11136.000000,1542.740390,1126.299349,2126.833996,558.709652
11264.000000,1555.668545,1131.180761,2142.875532,559.798071
11392.000000,1480.844904,1132.716297,2167.807110,559.826311
11520.000000,1576.288898,1155.472627,2199.473226,558.947210
11648.000000,1578.212881,1164.010057,2193.286521,560.370404
11776.000000,1591.085348,1166.803649,2213.047146,562.570767
11904.000000,1604.343487,1173.304836,2213.575904,561.763221
12032.000000,1605.921693,1189.948383,2237.983247,563.474509
12160.000000,1613.790757,1198.234602,2224.680366,563.464781
12288.000000,1625.940570,1200.807042,2104.454175,564.974662
12416.000000,1632.176548,1207.675818,2019.378362,564.601918
12544.000000,1649.879366,1225.495373,1998.676394,560.839322
12672.000000,1659.009238,1234.441155,1995.235589,559.973968
